RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
51.0,15616550.0,Chidiebele,698,Germany,Male,44.0,10,116363.37,2.0,1,0,198059.16,invalid_value,0,4,SILVER,829
52.0,15768193.0,Trevisani,585,Germany,Male,36.0,5,146050.97,2.0,0,0,86424.57,0,0,invalid_value,SILVER,665
53.0,15683553.0,O'Brien,788,France,Female,33.0,5,0.0,2.0,0,0,116978.19,0,0,3,GOLD,982
54.0,15702298.0,Parkhill,655,Germany,Male,41.0,8,125561.97,1.0,0,0,164040.94,1,1,,SILVER,343
55.0,15569590.0,Yoo,601,Germany,Male,42.0,1,98495.72,1.0,1,0,40014.76,1,,2,DIAMOND,invalid_value
56.0,15760861.0,Phillipps,619,France,Male,43.0,1,125211.92,1.0,1,1,113410.49,0,0,5,SILVER,657
57.0,,Tsao,656,France,Male,45.0,5,127864.4,1.0,1,0,87107.57,0,,2,PLATINUM,221
58.0,15647091.0,Endrizzi,725,Germany,Male,19.0,0,75888.2,1.0,0,0,45613.75,0,0,2,PLATINUM,406
59.0,15623944.0,T'ien,511,Spain,Female,66.0,4,0.0,1.0,1,0,1643.11,1,1,5,SILVER,549
60.0,15804771.0,Velazquez,614,France,Male,51.0,4,40685.92,1.0,1,1,46775.28,0,0,4,PLATINUM,954
61.0,15651280.0,Hunter,742,Germany,Male,35.0,5,136857.0,1.0,0,0,84509.57,0,0,4,GOLD,823
62.0,15773469.0,Clark,687,Germany,Female,27.0,9,152328.88,2.0,0,0,126494.82,0,0,5,DIAMOND,769
63.0,15702014.0,Jeffrey,555,Spain,Male,33.0,1,56084.69,2.0,0,0,178798.13,0,0,invalid_value,PLATINUM,481
64.0,15751208.0,Pirozzi,684,Spain,Male,56.0,8,78707.16,1.0,1,1,99398.36,0,0,4,SILVER,903
65.0,15592461.0,Jackson,603,Germany,Male,26.0,4,109166.37,1.0,1,1,92840.67,0,0,3,PLATINUM,882
66.0,15789484.0,Hammond,751,Germany,Female,36.0,6,169831.46,2.0,1,1,27758.36,0,1,,GOLD,379
67.0,15696061.0,Brownless,581,Germany,Female,34.0,1,101633.04,1.0,1,0,110431.51,0,1,invalid_value,PLATINUM,469
68.0,15641582.0,Chibugo,735,Germany,Male,43.0,10,123180.01,2.0,1,1,196673.28,0,1,3,PLATINUM,683
69.0,15638424.0,Glauert,661,Germany,Female,35.0,5,150725.53,2.0,0,,113656.85,0,1,1,GOLD,770
70.0,15755648.0,Pisano,675,France,Female,21.0,8,98373.26,1.0,1,0,18203.0,0,0,5,SILVER,985
71.0,15703793.0,Konovalova,738,Germany,Male,58.0,2,133745.44,4.0,1,0,28373.86,1,1,4,GOLD,725
72.0,15620344.0,McKee,813,France,Male,29.0,6,0.0,1.0,1,0,33953.87,0,0,,PLATINUM,259
73.0,15812518.0,Palermo,657,Spain,Female,37.0,0,163607.18,1.0,0,1,44203.55,0,0,2,GOLD,979
,15779052.0,Ballard,604,Germany,Female,25.0,5,157780.84,2.0,1,1,58426.81,0,0,2,SILVER,988
75.0,15770811.0,Wallace,519,France,Male,36.0,9,0.0,2.0,0,1,145562.4,0,0,2,PLATINUM,833
76.0,15780961.0,Cavenagh,735,France,Female,21.0,1,178718.19,2.0,1,0,22388.0,0,0,1,PLATINUM,527
77.0,15614049.0,Hu,664,France,Male,55.0,8,0.0,2.0,1,1,139161.64,0,0,,SILVER,220
78.0,15662085.0,Read,678,France,Female,32.0,9,0.0,1.0,1,1,148210.64,0,0,4,GOLD,983
79.0,15575185.0,Bushell,757,Spain,Male,33.0,5,77253.22,1.0,0,1,194239.63,0,0,3,,582
80.0,15803136.0,Postle,416,invalid_value,Female,41.0,10,122189.66,2.0,1,0,98301.61,0,0,3,SILVER,281
81.0,15706021.0,Buley,665,France,Female,34.0,1,96645.54,2.0,0,0,171413.66,0,0,3,DIAMOND,798
82.0,15663706.0,Leonard,777,France,Female,invalid_value,2,0.0,1.0,1,0,136458.19,1,1,5,SILVER,917
83.0,15641732.0,Mills,543,France,Female,36.0,3,0.0,2.0,0,0,invalid_value,0,0,2,DIAMOND,255
84.0,15701164.0,Onyeorulu,506,France,Female,34.0,4,90307.62,1.0,1,1,159235.29,0,0,4,SILVER,511
85.0,15738751.0,Beit,493,France,Female,46.0,4,0.0,2.0,1,0,1907.66,0,0,1,SILVER,498
86.0,15805254.0,Ndukaku,652,Spain,Female,75.0,10,0.0,2.0,1,1,114675.75,0,0,5,DIAMOND,651
87.0,15762418.0,Gant,750,Spain,Male,22.0,3,121681.82,1.0,1,0,128643.35,1,1,2,,852
88.0,15625759.0,Rowley,729,France,Male,30.0,9,0.0,2.0,1,0,151869.35,invalid_value,0,1,DIAMOND,807
89.0,15622897.0,Sharpe,646,France,Female,46.0,4,0.0,3.0,1,0,invalid_value,1,1,3,PLATINUM,470
90.0,15767954.0,Osborne,635,Germany,Female,28.0,3,81623.67,2.0,1,1,156791.36,0,0,1,DIAMOND,659
91.0,15757535.0,Heap,647,Spain,Female,44.0,5,0.0,3.0,1,1,174205.22,1,1,3,DIAMOND,752
92.0,15731511.0,Ritchie,808,France,,45.0,7,118626.55,2.0,1,0,147132.46,0,0,1,SILVER,559
93.0,15809248.0,Cole,524,France,Female,36.0,10,0.0,2.0,1,0,109614.57,0,0,2,GOLD,375
94.0,15640635.0,Capon,769,France,Male,29.0,8,0.0,2.0,1,1,172290.61,0,0,2,DIAMOND,411
invalid_value,15676966.0,Capon,730,Spain,Male,42.0,4,0.0,2.0,0,1,85982.47,0,0,4,DIAMOND,722
96.0,15699461.0,Fiorentini,515,Spain,Male,35.0,10,176273.95,1.0,0,1,121277.78,0,0,1,GOLD,231
97.0,15738721.0,Graham,773,Spain,Male,41.0,9,102827.44,1.0,0,1,64595.25,0,0,5,DIAMOND,488
98.0,15693683.0,Yuille,814,Germany,Male,29.0,8,97086.4,2.0,1,1,197276.13,0,0,2,GOLD,965
99.0,15604348.0,Allard,710,Spain,Male,22.0,8,0.0,2.0,0,0,99645.04,0,0,4,SILVER,289
100.0,15633059.0,Fanucci,413,France,Male,34.0,9,0.0,2.0,0,0,6534.18,0,0,1,PLATINUM,449
101.0,15808582.0,Fu,665,France,Female,40.0,6,0.0,1.0,1,1,161848.03,0,0,2,SILVER,651
102.0,15743192.0,Hung,623,France,Female,44.0,6,0.0,2.0,0,0,167162.43,0,0,2,DIAMOND,520
103.0,15580146.0,Hung,738,France,Male,31.0,9,82674.15,1.0,1,0,41970.72,0,0,4,DIAMOND,234
104.0,15776605.0,Bradley,528,Spain,Male,36.0,7,0.0,2.0,1,0,60536.56,0,0,5,SILVER,458
105.0,15804919.0,Dunbabin,670,Spain,Female,65.0,1,0.0,1.0,1,1,177655.68,1,1,2,GOLD,
106.0,15613854.0,Mauldon,622,Spain,Female,46.0,4,107073.27,2.0,1,1,30984.59,1,1,3,GOLD,299
107.0,15599195.0,Stiger,582,Germany,Male,32.0,1,88938.62,1.0,1,1,10054.53,0,0,4,GOLD,838
108.0,15812878.0,Parsons,785,Germany,Female,36.0,2,99806.85,1.0,0,1,36976.52,0,0,5,PLATINUM,786
109.0,15602312.0,Walkom,605,Spain,Male,33.0,5,150092.8,1.0,0,0,71862.79,0,0,3,DIAMOND,509
110.0,15744689.0,T'ang,479,Germany,Male,35.0,9,92833.89,1.0,1,0,99449.86,1,1,3,DIAMOND,328
111.0,15803526.0,Eremenko,685,Germany,Male,30.0,3,90536.81,1.0,0,1,,0,0,4,SILVER,347
112.0,15665790.0,Rowntree,538,Germany,Male,39.0,7,108055.1,2.0,1,0,invalid_value,0,0,5,SILVER,534
invalid_value,15715951.0,Thorpe,562,France,Male,42.0,2,100238.35,1.0,0,0,86797.41,0,0,invalid_value,PLATINUM,709
114.0,15591100.0,Chiemela,675,Spain,Male,36.0,9,106190.55,1.0,0,1,22994.32,0,0,4,SILVER,749
115.0,15609618.0,Fanucci,721,Germany,invalid_value,28.0,9,154475.54,2.0,0,1,101300.94,1,1,5,PLATINUM,541
116.0,15675522.0,Ko,628,Germany,Female,30.0,9,132351.29,2.0,1,1,74169.13,0,0,2,GOLD,736
117.0,15705512.0,Welch,668,Germany,Female,37.0,6,167864.4,1.0,1,invalid_value,115638.29,0,0,4,SILVER,529
118.0,15698028.0,Duncan,506,France,Female,41.0,1,0.0,2.0,1,0,31766.3,0,0,4,GOLD,594
119.0,15661670.0,Chidozie,524,Germany,Female,invalid_value,8,107818.63,1.0,1,0,199725.39,1,1,1,SILVER,462
120.0,15600781.0,Wu,699,Germany,Male,34.0,4,185173.81,2.0,1,0,120834.48,0,0,3,PLATINUM,429
121.0,15682472.0,Culbreth,828,France,Male,34.0,8,129433.34,2.0,0,0,38131.77,0,0,4,SILVER,370
122.0,15580203.0,Kennedy,674,Spain,Male,39.0,6,120193.42,1.0,0,0,100130.95,0,0,1,PLATINUM,510
123.0,15690673.0,Cameron,656,France,Female,39.0,6,0.0,2.0,1,0,141069.88,0,0,4,DIAMOND,638
124.0,15760085.0,Calabresi,684,Germany,Female,48.0,10,126384.42,1.0,1,1,198129.36,0,0,1,GOLD,462
125.0,,Zetticci,625,France,Female,28.0,3,0.0,1.0,0,0,183646.41,0,0,4,GOLD,718
126.0,15627360.0,Fuller,432,France,Male,42.0,9,152603.45,1.0,1,0,110265.24,1,1,3,DIAMOND,437
127.0,15671137.0,MacDonald,549,France,Female,52.0,1,0.0,1.0,0,1,8636.05,1,1,4,DIAMOND,485
128.0,15782688.0,Piccio,625,Germany,Male,56.0,0,148507.24,1.0,1,0,46824.08,1,1,3,PLATINUM,410
129.0,15575492.0,Kennedy,828,France,invalid_value,41.0,7,0.0,2.0,1,0,171378.77,0,0,2,PLATINUM,666
130.0,15591607.0,Fernie,,France,Male,24.0,9,101827.07,1.0,1,0,167256.35,0,0,4,GOLD,730
131.0,15740404.0,He,758,France,Female,34.0,3,0.0,2.0,1,1,124226.16,,0,2,PLATINUM,375
132.0,15718369.0,Kaodilinakachukwu,795,Germany,Female,33.0,9,130862.43,invalid_value,1,invalid_value,114935.21,0,0,5,GOLD,411
133.0,15677871.0,Cocci,687,France,Male,38.0,9,122570.87,1.0,1,1,35608.88,0,0,4,DIAMOND,595
134.0,15642004.0,Alekseeva,686,France,Male,25.0,1,0.0,2.0,0,1,16459.37,0,0,1,DIAMOND,578
135.0,15712543.0,Chinweike,789,Germany,Male,39.0,7,124828.46,2.0,1,1,124411.08,0,0,2,PLATINUM,377
136.0,15584518.0,Arthur,589,Germany,Female,50.0,5,144895.05,,1,1,34941.23,0,0,2,GOLD,831
137.0,invalid_value,Li,461,Germany,Female,34.0,5,63663.93,1.0,0,1,167784.28,0,0,1,SILVER,497
138.0,15610156.0,Ma,637,France,Male,40.0,2,133463.1,1.0,0,1,93165.34,0,0,,PLATINUM,374
139.0,15594408.0,Chia,584,Spain,Female,48.0,2,213146.2,1.0,1,0,75161.25,1,0,4,DIAMOND,814
140.0,15640905.0,Vasin,579,Spain,Female,35.0,1,129490.36,2.0,0,1,8590.83,1,1,4,GOLD,247
141.0,15698932.0,Groves,756,Germany,Male,44.0,10,137452.09,1.0,1,0,189543.9,0,0,5,PLATINUM,965
142.0,15724944.0,Tien,663,France,Male,34.0,7,0.0,2.0,1,1,180427.24,0,0,3,SILVER,912
143.0,15628145.0,Forwood,682,France,Female,43.0,5,125851.93,1.0,1,1,193318.33,0,0,4,GOLD,462
144.0,15713483.0,Greeves,793,Spain,Male,52.0,2,0.0,1.0,1,0,159123.82,1,1,5,GOLD,883
145.0,invalid_value,Taylor,691,France,Female,31.0,5,40915.55,1.0,1,0,126213.84,1,0,2,SILVER,402
146.0,15800703.0,Madukwe,485,Spain,Female,21.0,5,113157.22,1.0,1,1,54141.5,0,0,4,GOLD,764
147.0,15705707.0,Bennelong,635,Spain,Female,29.0,8,138296.94,2.0,1,0,141075.51,0,0,1,PLATINUM,608
148.0,15754105.0,Olisanugo,650,France,Male,37.0,5,106967.18,1.0,0,0,24495.03,0,0,5,PLATINUM,652
149.0,15703264.0,Chukwufumnanya,735,France,Male,44.0,9,120681.63,1.0,1,0,74836.34,0,0,2,SILVER,520
150.0,15794413.0,Harris,416,France,Male,32.0,0,0.0,2.0,0,1,878.87,0,0,5,GOLD,884
151.0,15650237.0,Morgan,754,Spain,Female,32.0,7,0.0,2.0,1,0,89520.75,0,0,1,SILVER,800
152.0,15759618.0,Alexeeva,535,France,Female,48.0,9,0.0,1.0,1,0,149892.79,1,1,4,GOLD,697
153.0,15811589.0,Metcalfe,716,Spain,Male,42.0,8,0.0,2.0,1,0,180800.42,0,0,2,SILVER,427
154.0,15689044.0,Humphries,539,France,Male,37.0,2,127609.59,1.0,1,0,98646.22,0,0,1,DIAMOND,620
155.0,15709368.0,Milne,614,France,Female,43.0,6,0.0,2.0,1,1,109041.53,0,0,1,PLATINUM,318
156.0,15679145.0,Chou,706,Spain,Male,57.0,7,0.0,1.0,1,0,17941.16,1,1,1,GOLD,701
157.0,15655007.0,Li,758,France,Female,33.0,7,0.0,2.0,0,0,82996.47,0,0,4,PLATINUM,953
158.0,15623595.0,Clayton,586,Spain,Female,28.0,2,0.0,2.0,1,1,92067.35,0,0,5,PLATINUM,635
159.0,15589975.0,Maclean,646,France,Female,73.0,6,97259.25,1.0,0,1,104719.66,0,0,1,PLATINUM,250
160.0,15804017.0,Chigolum,631,Germany,Female,33.0,4,123246.7,1.0,0,0,invalid_value,0,0,3,SILVER,662
161.0,15692132.0,Wilkinson,717,Spain,Female,22.0,6,invalid_value,1.0,0,1,84699.56,0,0,2,GOLD,666
162.0,15641122.0,Wei,684,France,Male,30.0,2,0.0,2.0,1,0,83473.82,0,0,4,DIAMOND,invalid_value
163.0,15630910.0,Treacy,800,France,Female,49.0,7,108007.36,1.0,0,0,47125.11,0,0,3,PLATINUM,855
164.0,15680772.0,Hu,721,Spain,Female,36.0,2,0.0,2.0,1,1,106977.8,0,0,5,SILVER,534
165.0,15658929.0,Taverner,683,Spain,Male,29.0,0,133702.89,1.0,1,0,55582.54,1,1,1,PLATINUM,388
166.0,15585388.0,Sherman,660,Germany,Male,31.0,9,125189.75,2.0,1,1,139874.43,,0,5,,612
167.0,15724623.0,Taubman,704,Germany,Female,24.0,7,,1.0,1,0,162503.48,1,1,2,PLATINUM,801
invalid_value,15588537.0,Robinson,615,Spain,Female,41.0,9,109013.23,1.0,1,0,196499.96,0,0,1,PLATINUM,561
169.0,15574692.0,Pinto,667,Spain,Female,39.0,2,0.0,2.0,1,0,40721.24,1,1,5,PLATINUM,308
170.0,,Wood,682,Germany,Male,24.0,9,57929.81,2.0,0,0,53134.3,0,0,5,SILVER,643
171.0,15587562.0,Hawkins,484,France,Female,invalid_value,4,130114.39,1.0,1,0,164017.89,0,0,1,GOLD,249
172.0,15613172.0,Sun,628,Germany,Male,27.0,5,invalid_value,2.0,1,0,155996.96,0,1,2,SILVER,invalid_value
173.0,15651022.0,invalid_value,480,Germany,Male,44.0,10,129608.57,1.0,1,0,5472.7,1,1,1,GOLD,775
174.0,15586310.0,Ting,578,France,Male,30.0,4,169462.09,1.0,1,0,112187.11,0,1,5,DIAMOND,872
175.0,15625524.0,Rowe,512,France,Male,40.0,5,0.0,2.0,1,1,146457.83,0,0,3,DIAMOND,435
176.0,15755209.0,Fu,484,Spain,Female,35.0,7,133868.21,1.0,1,1,27286.1,0,0,2,SILVER,415
177.0,15645248.0,Ho,510,France,Female,30.0,0,0.0,2.0,1,1,130553.47,0,0,2,DIAMOND,430
178.0,15790355.0,Okechukwu,606,Germany,Male,36.0,5,190479.48,2.0,0,0,179351.89,0,0,5,PLATINUM,929
179.0,15762615.0,Campbell,597,invalid_value,Female,40.0,8,101993.12,1.0,0,1,94774.12,0,0,,SILVER,681
180.0,15625426.0,Ashbolt,754,Germany,Female,55.0,3,161608.81,1.0,1,0,8080.85,1,1,4,GOLD,810
181.0,15716334.0,Rozier,850,Spain,Female,45.0,2,122311.21,1.0,1,1,19482.5,0,0,5,GOLD,739
182.0,15789669.0,Hsia,510,France,Male,65.0,2,0.0,2.0,1,1,48071.61,0,0,1,SILVER,280
183.0,15621075.0,Ogbonnaya,778,Germany,Female,45.0,1,162150.42,2.0,1,0,174531.27,0,0,2,DIAMOND,250
184.0,15810845.0,T'ang,636,France,Male,42.0,2,0.0,2.0,1,invalid_value,55470.78,0,0,4,PLATINUM,991
185.0,15719377.0,,804,France,Female,50.0,4,0.0,1.0,1,1,8546.87,1,1,2,GOLD,482
186.0,15654506.0,Chang,514,,Male,32.0,8,0.0,2.0,1,0,95857.18,0,0,4,PLATINUM,423
187.0,15771977.0,T'ao,730,France,Female,39.0,1,99010.67,1.0,1,0,194945.8,0,0,5,GOLD,260
188.0,15708710.0,Ford,525,Spain,Female,37.0,0,0.0,1.0,0,1,131521.72,0,0,5,SILVER,642
189.0,15726676.0,Marshall,616,Spain,Male,30.0,5,0.0,2.0,0,1,196108.51,0,0,4,PLATINUM,invalid_value
190.0,15587421.0,Tsai,687,Germany,Female,34.0,7,111388.18,2.0,1,0,148564.76,0,0,4,GOLD,570
191.0,15726931.0,Onwumelu,715,France,Female,41.0,,56214.85,2.0,0,0,92982.61,1,1,4,GOLD,790
192.0,15771086.0,Graham,512,France,Female,36.0,3,84327.77,2.0,1,0,17675.36,0,0,5,PLATINUM,727
193.0,15756850.0,Golovanov,479,France,Male,40.0,1,0.0,2.0,0,0,114996.43,0,0,3,SILVER,909
194.0,15702741.0,Potts,601,France,Male,32.0,8,93012.89,1.0,1,0,86957.42,0,0,2,GOLD,799
195.0,15679200.0,Crawford,580,Spain,Male,29.0,9,61710.44,invalid_value,1,0,128077.8,,0,1,DIAMOND,520
196.0,15594815.0,Aleshire,807,France,Male,35.0,3,174790.15,1.0,invalid_value,,600.36,0,0,3,SILVER,861
197.0,15635905.0,Moran,616,Spain,Female,32.0,6,0.0,2.0,1,1,43001.46,0,0,5,GOLD,512
198.0,15777892.0,Samsonova,721,Germany,Male,37.0,3,107720.64,1.0,1,1,158591.12,0,0,1,PLATINUM,478
199.0,15656176.0,Jenkins,501,France,Male,57.0,10,0.0,2.0,1,1,47847.19,0,0,5,PLATINUM,374
200.0,15811127.0,Volkov,521,France,Male,35.0,6,96423.84,1.0,1,0,10488.44,0,0,4,PLATINUM,280
201.0,15604482.0,Chiemezie,850,Spain,Male,30.0,2,141040.01,1.0,1,1,5978.2,0,0,2,DIAMOND,615
202.0,15622911.0,Jude,759,France,Male,42.0,4,105420.18,1.0,0,1,121409.06,0,0,3,GOLD,435
203.0,15600974.0,He,516,Spain,Male,50.0,5,0.0,1.0,0,1,146145.93,1,1,5,GOLD,509
,15727868.0,Onuora,711,France,Female,38.0,2,129022.06,2.0,1,1,14374.86,1,1,4,DIAMOND,321
205.0,15627801.0,Ginikanwa,512,Spain,,33.0,3,176666.62,1.0,1,0,94670.77,0,0,1,PLATINUM,726
206.0,15773039.0,Ku,550,France,Male,37.0,3,0.0,1.0,1,1,179670.31,0,0,3,GOLD,516
207.0,15755262.0,McDonald,608,Spain,Female,41.0,3,89763.84,1.0,0,0,199304.74,1,1,3,PLATINUM,639
208.0,15679531.0,Collins,618,France,Male,34.0,5,134954.53,1.0,1,1,151954.39,0,0,2,SILVER,512
209.0,15684181.0,Hackett,643,France,Male,45.0,5,0.0,1.0,1,0,142513.5,,1,3,GOLD,730
210.0,15612087.0,Dike,671,France,invalid_value,45.0,2,106376.85,1.0,0,1,158264.62,0,0,3,DIAMOND,244
211.0,15752047.0,Trevisano,689,Germany,Male,33.0,2,161814.64,2.0,1,0,169381.9,0,0,3,PLATINUM,292
212.0,15624592.0,Tan,603,France,Male,31.0,8,0.0,2.0,1,1,169915.02,0,0,3,GOLD,245
213.0,15573152.0,Glassman,620,France,Female,41.0,9,0.0,2.0,0,0,88852.47,0,0,3,DIAMOND,848
214.0,15594917.0,Miller,676,France,Female,34.0,1,invalid_value,1.0,1,1,40645.81,0,0,3,SILVER,974
215.0,15785542.0,Kornilova,572,Germany,Male,26.0,4,118287.01,2.0,0,0,60427.3,0,0,4,DIAMOND,958
216.0,15723488.0,Watson,,Germany,Male,47.0,7,106854.21,1.0,0,1,157959.02,1,invalid_value,3,GOLD,629
217.0,15680920.0,Marchesi,695,France,Male,46.0,7,49512.55,1.0,1,0,133007.34,0,0,3,DIAMOND,310
218.0,15786308.0,Millar,730,Spain,Female,33.0,9,0.0,2.0,0,0,176576.62,0,0,1,SILVER,621
219.0,15659366.0,Shih,807,France,Male,43.0,1,105799.32,2.0,1,0,34888.04,1,1,4,DIAMOND,924
220.0,15774854.0,Fuller,592,France,Male,54.0,8,0.0,1.0,1,1,28737.71,1,1,2,PLATINUM,359
221.0,15725311.0,Hay,726,France,Female,31.0,9,114722.05,2.0,1,1,98178.57,0,0,5,SILVER,811
222.0,15787155.0,Yang,514,Spain,Male,30.0,7,0.0,1.0,0,1,125010.24,0,0,4,DIAMOND,583
223.0,15727829.0,McIntyre,567,France,Male,42.0,2,0.0,2.0,1,1,167984.61,0,0,5,SILVER,959
224.0,15733247.0,Stevenson,850,France,Male,33.0,10,0.0,1.0,1,0,4861.72,1,1,1,SILVER,359
invalid_value,15568748.0,Poole,671,Germany,Male,45.0,6,99564.22,1.0,1,1,108872.45,1,1,3,PLATINUM,901
,15699029.0,Bagley,670,France,Male,37.0,4,170557.91,2.0,1,0,198252.88,0,0,5,GOLD,729
